hhmmss,prediction_filename,ais_date,prediction_seconds,ship_probability,matched
122236,122236_T30s.png,2025-07-02,44556,0.7389412,False
135056,135056_T30s.png,2025-07-02,49856,0.6685101,False
124126,124126_T30s.png,2025-07-02,45686,0.5528217,False
133526,133526_T30s.png,2025-07-02,48926,0.5423711,False
